company_name,industry,tier,Location-1,Location-2
accord software & systems pvt ltd ,IT,,,
acme insurance services pvt ltd ,IT,,,
adaptec (india) pvt ltd ,IT,,,
adea international pvt ltd ,IT,,,
aditi technologies pvt ltd ,IT,,,
affiliated computer services of india (p) ltd (acs) ,IT,,,
ajax.com pvt ltd ,IT,,,
akamai technologies india pvt ltd ,IT,,,
altair engineering india pvt ltd ,IT,,,
antares systems ltd ,IT,,,
anz information technology pvt. ltd. ,IT,,,
arowana consulting ltd ,IT,,,
artech infosystems pvt ltd ,IT,,,
ascendas property management services (india) pvt ltd ,IT,,,
asm technologies ltd ,IT,,,
aspect technology center (india) pvt ltd ,IT,,,
avaya globalconnect ltd ,IT,,,
axes technologies (i) pvt ltd ,IT,,,
aztecsoft ltd ,IT,,,
baehal software limited ,IT,,,
bahwan cybertek pvt ltd ,IT,,,
bangalore softsell ltd ,IT,,,
bells softech limited ,IT,,,
beml technology division (a div of bharat earth movers ltd) ,IT,,,
bharti telesoft ltd. ,IT,,,
blue chip computer consultants pvt ltd ,IT,,,
blue star infotech ltd ,IT,,,
borland india pvt ltd ,IT,,,
business process outsourcing (india) pvt ltd ,IT,,,
c1 india pvt ltd ,IT,,,
cable and wireless (india) ltd ,IT,,,
cadence design systems india pvt. ltd ,IT,,,
cades digitech pvt ltd ,IT,,,
canarys automation pvt ltd ,IT,,,
canbank computer services ltd. ,IT,,,
capco it services india pvt ltd ,IT,,,
capital one services (india) pvt ltd ,IT,,,
cb richard ellis south asia pvt ltd ,IT,,,
ccg (india) pvt ltd ,IT,,,
ccg (india) pvt ltd ,IT,,,
celstream technologies pvt ltd ,IT,,,
centre for development of advanced computing (c - dac) ,IT,,,
cg-smith software pvt ltd ,IT,,,
cgi information systems and management consultants pvt ltd ,IT,,,
citec information india pvt ltd ,IT,,,
citigroup information technology operations and solutions ltd ,IT,,,
citrix systems india pvt ltd ,IT,,,
city info services pvt ltd ,IT,,,
cli3l e-services limited ,IT,,,
comat technologies (p) ltd. ,IT,,,
coreobjects india pvt. ltd. ,IT,,,
corpus software pvt ltd ,IT,,,
corpus software pvt ltd ,IT,,,
cranes software international ltd ,IT,,,
crimsonlogic india pvt ltd ,IT,,,
crossdomain solutions pvt ltd ,IT,,,
cyrca data security solutions (p) ltd ,IT,,,
e 3 dimesions,IT,,,
eaft technologies pvt ltd,IT,,,
enphiniti engineering solutions,IT,,,
enterprise patterns,IT,,,
eorb solutions inc,IT,,,
esika infotech private limited,IT,,,
ethicsoft technologies pvt ltd,IT,,,
evangelsoft,IT,,,
evangelsoft private limited,IT,,,
evude software pvt ltd,IT,,,
exultsoft technologies pvt ltd,IT,,,
ezeecloud infoservers pvt ltd,IT,,,
fas dec,IT,,,
faststream technologies,IT,,,
fomax information technologies pvt ltd,IT,,,
foodeebuddee services pvt ltd,IT,,,
friendly advanced software technologies,IT,,,
frontier hr & payroll pvt ltd,IT,,,
funvoltage technologies pvt ltd,IT,,,
galaxy km solutions pvt ltd,IT,,,
geniusport,IT,,,
global itechnologies,IT,,,
glopore ims,IT,,,
gosys infotech,IT,,,
grace system technology labs (india) pvt ltd,IT,,,
grafixion,IT,,,
granada software,IT,,,
greypath solutions,IT,,,
hasten technologies pvt ltd,IT,,,
hibiscus technology solutions private limited,IT,,,
hypertech solutions,IT,,,
e-infochips ltd. ,IT,,,
e4e labs pvt ltd ,IT,,,
e4e labs pvt ltd ,IT,,,
easiprocess pvt ltd ,IT,,,
eduquity career technologies pvt ltd ,IT,,,
edurite technologies pvt ltd ,IT,,,
electronics for imaging india pvt ltd ,IT,,,
elitecore technologies ltd ,IT,,,
emc data storage systems (india) private limited ,IT,,,
fcg software services (india) pvt ltd ,IT,,,
fiorano software technologies pvt ltd ,IT,,,
first indian corporation pvt ltd ,IT,,,
first indian corporation pvt ltd ,IT,,,
focus infosys (india) pvt. ltd. ,IT,,,
fortune infotech ltd ,IT,,,
franklin templeton international services (india) pvt ltd ,IT,,,
gci solutions pvt ltd ,IT,,,
ge consumer & industrial - india innovation center (a div. of ge india exports) ,IT,,,
genisys integrating systems (i) pvt. ltd. ,IT,,,
global edge software ltd ,IT,,,
gxs india technology centre pvt. ltd. ,IT,,,
harbinger techaxes pvt ltd ,IT,,,
harita infoserve ltd ,IT,,,
harris jayanti technologies ,IT,,,
hcl technologies bpo services ltd ,IT,,,
hewlett-packard globalsoft ltd ,IT,,,
hewlett-packard india sales pvt ltd ,IT,,,
hinduja tmt ltd ,IT,,,
honeywell technology solutions lab pvt ltd ,IT,,,
human base india inc. ,IT,,,
i2 technologies india pvt ltd ,IT,,,
i2i enterprise ltd ,IT,,,
ibm india pvt ltd ,IT,,,
ideb construction projects (p) ltd ,IT,,,
igate global solutions ltd ,IT,,,
impact solutions (p) ltd ,IT,,,
india insure risk management services pvt ltd ,IT,,,
india prepaid services pvt ltd ,IT,,,
india satcom ltd. ,IT,,,
infineon technologies india pvt ltd ,IT,,,
infineon technologies r&d centre ,IT,,,
infinite computer solutions (india) pvt ltd ,IT,,,
infopac software pvt. ltd. ,IT,,,
information technology park ltd ,IT,,,
infosys technologies ltd ,IT,,,
inknowtech private limited ,IT,,,
integra techsoft pvt. ltd. ,IT,,,
integrated property management & services ltd ,IT,,,
"intel asia electronics, Inc ",IT,,
intercope (india) pvt. ltd ,IT,,,
intersoftkk (india) pvt ltd ,IT,,,
interwoven software services india pvt ltd ,IT,,,
intuit technology services pvt ltd ,IT,,,
ionic microsystems pvt. ltd ,IT,,,
ionidea enterprise solutions pvt ltd ,IT,,,
ishoni networks ,IT,,,
itc infotech india ltd ,IT,,,
iteamic pvt ltd ,IT,,,
itti limited ,IT,,,
itti pvt. ltd ,IT,,,
ivl india pvt ltd ,IT,,,
i-link software private limited,IT,,,
icube logics (i) pvt ltd,IT,,,
ind global consultancy solutions,IT,,,
indium global services,IT,,,
inflexion,IT,,,
info 2 day,IT,,,
infosat datalink services pvt ltd,IT,,,
innosoft datalinks private limited,IT,,,
innovature technologies,IT,,,
innovays technologies,IT,,,
iq software services p ltd,IT,,,
isleen solutions pvt ltd,IT,,,
isoke technologies & services pvt ltd,IT,,,
isqt process & consulting services pvt ltd,IT,,,
iterum healthcare technologies,IT,,,
itriangle infotech private limited,IT,,,
ixplore solutions,IT,,,
jbk infotech pvt ltd,IT,,,
jmj technologies,IT,,,
jobsolutions4all,IT,,,
kartel technologies,IT,,,
kenspeckle infosystems pvt ltd,IT,,,
keystone logic solutions pvt ltd,IT,,,
kloc technologies,IT,,,
knowledge varsity,IT,,,
knowx innovations pvt ltd,IT,,,
kurios theles business solutions (india) pvt ltd,IT,,,
kyrus technologies llp,IT,,,
j. sagar associates ,IT,,,
j235 software india pvt ltd ,IT,,,
kinfotech private limited ,IT,,,
klg systel ltd ,IT,,,
kmg infotech pvt ltd ,IT,2,,
kpmg advisory services private limited ,IT,2,,
krone communications ltd. ,IT,,,
larsen & toubro infotech limited ,IT,,,
lec india software centre pvt. ltd ,IT,,,
