company_name,industry,tier
crimsonlogic india pvt ltd,IT,3
crossdomain solutions pvt ltd,IT,3
cyrca data security solutions (p) ltd,IT,3
e 3 dimesions,IT,3
eaft technologies pvt ltd,IT,3
enphiniti engineering solutions,IT,3
enterprise patterns,IT,3
eorb solutions inc,IT,3
esika infotech private limited,IT,3
ethicsoft technologies pvt ltd,IT,3
evangelsoft,IT,3
evangelsoft private limited,IT,3
evude software pvt ltd,IT,3
exultsoft technologies pvt ltd,IT,3
ezeecloud infoservers pvt ltd,IT,3
fas dec,IT,3
faststream technologies,IT,3
fomax information technologies pvt ltd,IT,3
foodeebuddee services pvt ltd,IT,3
friendly advanced software technologies,IT,3
frontier hr & payroll pvt ltd,IT,3
funvoltage technologies pvt ltd,IT,3
galaxy km solutions pvt ltd,IT,3
geniusport,IT,3
global itechnologies,IT,3
glopore ims,IT,3
gosys infotech,IT,3
grace system technology labs (india) pvt ltd,IT,3
grafixion,IT,3
granada software,IT,3
greypath solutions,IT,3
hasten technologies pvt ltd,IT,3
hibiscus technology solutions private limited,IT,3
hypertech solutions,IT,3
e-infochips ltd.,IT,3
e4e labs pvt ltd,IT,3
easiprocess pvt ltd,IT,3
eduquity career technologies pvt ltd,IT,3
edurite technologies pvt ltd,IT,3
electronics for imaging india pvt ltd,IT,3
elitecore technologies ltd,IT,3
emc data storage systems (india) private limited,IT,1
fcg software services (india) pvt ltd,IT,3
fiorano software technologies pvt ltd,IT,3
first indian corporation pvt ltd,IT,3
focus infosys (india) pvt. ltd.,IT,3
fortune infotech ltd,IT,3
franklin templeton international services (india) pvt ltd,IT,1
gci solutions pvt ltd,IT,3
ge consumer & industrial - india innovation center (a div. of ge india exports),IT,1
genisys integrating systems (i) pvt. ltd.,IT,3
global edge software ltd,IT,3
gxs india technology centre pvt. ltd.,IT,3
harbinger techaxes pvt ltd,IT,3
harita infoserve ltd,IT,2
harris jayanti technologies,IT,3
hcl technologies bpo services ltd,IT,2
hewlett-packard globalsoft ltd,IT,2
hewlett-packard india sales pvt ltd,IT,2
hinduja tmt ltd,IT,2
honeywell technology solutions lab pvt ltd,IT,2
human base india inc.,IT,3
i2 technologies india pvt ltd,IT,2
i2i enterprise ltd,IT,2
ibm india pvt ltd,IT,2
ideb construction projects (p) ltd,IT,3
igate global solutions ltd,IT,2
impact solutions (p) ltd,IT,3
