query,name,website,overallRating,industry,numberOfRatings
Craft LLC,Hangar 24 Craft Brewery,www.hangar24brewery.com,2.0,Food & Beverage Manufacturing,3
Task Staffing Solutions Pvt. Ltd,Task Staffing Solutions,www.taskstaffing.com,2.0,Advertising & Marketing,1
iNube Software Solutions Pvt Ltd,Inube Software Solutions,www.inubesolutions.com,3.3,Computer Hardware & Software,16
Shriram Value Services Private Limited,Shriram Value Services,www.shriramvalue.com,2.0,IT Services,7
Flipkart,Flipkart.com,www.flipkart.com,3.8,Internet,287
Mirus Solutions,Mirus IT Solutions,www.mirus-it.co.uk,2.0,IT Services,5
Frost and Sullivan,Frost & Sullivan,www.frost.com,2.9,Motion Picture Production & Distribution,454
Astute Consultants,RSM Astute Consulting Private Limited,www.astuteconsulting.com,2.0,,3
Doosan Infracore India Pvt.Ltd,Doosan Infracore,www.doosaninfracore.co.kr,2.9,Industrial Manufacturing,30
Reverie Language Technologies,Reverie Language Technologies,www.reverie.co.in,2.0,Enterprise Software & Network Solutions,1
I Maritime,i-maritime Consultancy,www.imaritime.com,1.8,Consulting,17
Talent Corner HR Services Pvt Ltd,Talent Corner HR Services,www.talentcorner.in,1.0,Staffing & Outsourcing,10
Careernet Technologies Pvt Ltd hiring for a leading bank,CareerNet Consulting,careernet.co.in,1.0,Staffing & Outsourcing,49
J. M. Baxi Co.,J.M Baxi & Co.,www.jmbaxi.com,3.4,Shipping,10
Overnite Express Ltd,Overnite Express,www.overnitenet.com,2.0,,0
Antuit,Antuit,www.antuit.com,2.0,,3
B4S Solutions Pvt Ltd hiring for b4S Solutions Pvt. Ltd.,b4S Solutions Pvt.,www.bhardwajservices.com,2.0,,0
Maersk Global Service Centres India Pvt. Ltd.,Maersk Group,www.maersk.com,3.8,Shipping,184
Zealous System Pvt Ltd,Zealous System,www.zealousys.com,2.0,Enterprise Software & Network Solutions,1
HR India Solutions,HR Solutions,www.hrsolutionsinc.com,3.3,Consulting,21
Fiserv India Pvt Ltd,Fiserv,www.fiserv.com,2.9,Financial Transaction Processing,1259
Career Net Consulting,Ammwaiy Career Advisors,,1.0,Staffing & Outsourcing,1
Hiring Partners HR Solutions,HR Solutions Partners,www.hrspi.com,1.0,Staffing & Outsourcing,3
Dimension Data India Ltd.,Dimension Data,www.dimensiondata.com,3.2,IT Services,313
American Express,American Express,www.americanexpress.com,3.6,Financial Transaction Processing,2987
Amazon,Amazon.com,www.amazon.com,3.4,General Merchandise & Superstores,6607
Actiknow,Actiknow,www.actiknow.com,2.0,,1
Lybrate,Lybrate,www.lybrate.com,2.0,,3
Reliance Industries Ltd,Reliance Industries,www.ril.com,3.2,Oil & Gas Exploration & Production,566
Pinga Solutions,Pinga Solutions,www.pingasolutions.com,2.0,,0
VKS,VKS Aiyer & Co,,2.0,Accounting,1
Epic Research Pvt. Ltd.,Epic Research,www.epicresearch.co,2.0,Financial Analytics & Research,1
Executive Scouters hiring for Business Analyst for a client in Analytic Domain,Domain,,2.0,,2
Xerion Retail Pvt. Ltd.,Jabong.com,www.jabong.com,3.2,Computer Hardware & Software,51
Assured Job,Stepahead Assured,www.stepaheadassured.com,2.0,Computer Hardware & Software,2
Takshashila Consulting,Takshashila,tkc.firm.in,2.9,Consulting,40
Boston Analytics Pvt. Ltd,Boston Analytics,www.bostonanalytics.com,2.7,Consulting,44
Evalueserve,Evalueserve,www.evalueserve.com,2.9,IT Services,387
Zyxware Technologies,Zyxware Technologies,www.zyxware.com,2.0,IT Services,6
iNetFrame,iNetFrame Solutions,www.inetframesolutions.com,2.0,Enterprise Software & Network Solutions,2
Collegedunia Web Pvt. Ltd,Collegedunia,www.collegedunia.com,2.0,,4
Trigent Software Limited,Trigent Software,www.trigent.com,2.7,IT Services,61
Vinove Software & Services Private Limited,Vinove Software & Services,www.vinove.com,2.9,Accounting,35
Mintstage Consulting hiring for Mintstage Consulting,Mintstage Consulting Services,www.mintstage.com,1.0,Staffing & Outsourcing,1
Talent Management Labs Inc,Talent Management Labs,www.tmlindia.com,2.0,Accounting,2
NISA Industrial services pvt ltd.,Nisa Industrial Services,www.nisaeye.com,2.0,Security Services,2
The Most Group Inc.,Naturemost Laboratories,,2.0,,1
The MOST Group Inc.,Naturemost Laboratories,,2.0,,1
Empower Recruitments hiring for Clients of Empower Recruitments,EMPOWER CES,www.empower-solar.com,2.0,,0
Vinove Software Services,Vinove Software & Services,www.vinove.com,2.9,Accounting,35
Mastermind Network,Mastermind Network,www.mastermindnetwork.co.in,1.0,Staffing & Outsourcing,0
Spectral Consultants,Spectral Consultants,www.spectral.in,2.0,Legal,2
ValeurHR E-Solutions Pvt. Ltd hiring for A leading name in consulting Globally,ValeurHr E-Solutions,www.valeurhr.com,2.0,,0
Biological E Limited,Biological E.,www.biologicale.com,2.0,Biotech & Pharmaceuticals,6
Growel Softech Ltd,Growel Softech,www.growelsoftech.com,2.0,IT Services,1
Analyst Law Associates,The Law Offices of Gonzalez & Associates,www.neilgonzalezlaw.com,2.0,Legal,3
Varite India Pvt. Ltd.,Varite,www.varite.com,3.5,"Health, Beauty, & Fitness",12
Physicians Interactive,Physicians Interactive,www.physiciansinteractive.com,4.1,Advertising & Marketing,30
Boss & Peers Consultants,Boss & Peers Consultants,,1.0,Staffing & Outsourcing,0
Petras HR Consultancy Services,Petra Asia Holdings,www.petraasia.com,2.0,Real Estate,0
Ken Research,Ken Research,www.kenresearch.com,2.6,Motion Picture Production & Distribution,15
Unisys India Pvt. Ltd.,Unisys,www.unisys.com,2.9,IT Services,1062
Path Infotech Ltd,Path Infotech,www.pathinfotech.com,3.2,IT Services,12
Mobulous Technologies Pivate limited,Mobulous Technologies,www.mobulous.com,2.0,,3
Hoonar Tekwurks Consulting LLP,Hoonar Tekwurks Consulting,www.hoonartek.com,2.0,IT Services,7
Think People Solutions Pvt Ltd,Think People Solutions,www.thinkpeople.in,1.0,Staffing & Outsourcing,5
Careerist management Consultants Pvt. Ltd.,CAREERIST Management Consultants,www.careerist.in,2.0,,1
NAILBITER,Nailbiter,www.nail-biter.com,2.0,Internet,2
Coalition Development Systems India Pvt. Ltd.,Somerville Homeless Coalition,www.shcinc.org,2.0,,1
GenY Medium,Gen Y Medium,www.genymedium.com,2.0,Advertising & Marketing,4
OKDA SOLUTIONS,Okda Solutions,www.okdasolutions.com,2.0,Advertising & Marketing,1
