Rank,Name ,City
2,Tamil Nadu Agricultural University,Coimbatore
2,Tamil Nadu Doctor M G R Medical University,Madras
2,Tamil Nadu Veterinary and Animal Sciences University,Madras
2,Tata Institute of Social Sciences,Mumbai
2,Thapar Institute of Engineering and Technology,Patiala
2,Tilka Maharashtara Vidyapeeth,Pune
2,Tilka Manjhi Bhagalpur University,Bhagalpur
2,Travancore University,
2,University of Bombay,Bombay (Mumbai)
2,University of Burdwan ,Burdwan 
2,University of Calcutta,Calcutta
2,University of Calicut ,Calicut 
2,University of Hyderabad ,Hyderabad 
2,Utkal University,Bhubaneswar
2,Visva-Bharati University,Shantiniketan
2,Visvesvaraya Technological University (VTU) ,Belgaum
3,"Agra Devi Ahila Vishwavidyalaya, Indore",Indore
3,Algappa University,Karaikudi
3,Amravati University ,Amravati
3,Arunachal Univeristy,Itanger
3,Assam University,Silchar
3,Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore
3,Awadhesh Pratap (AP) Singh Vishwavidyalaya (University),Rewa
3,B N Mandal University,Madhipura
3,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
3,Babasaheb Bhimrao Ambedkar University,Lucknow
3,Banasthali Vidyapith,Banasthali
3,Berhampur University,Berhampur
3,Bhavnagar University,Bhavnagar
3,Bidhan Chandra Krishi Viswavidyalaya,Mohanpur
3,Birsa Agricultural University,Ranchi
3,Bundelkhand University,Jhansi
3,Central Agricultural University,Imphal
3,Central Institute of Fisheries Education,"Madras, (Chennai)"
3,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
3,Chaudhary Charan Singh University,Meerut
3,Dakshina Bharat Hindi Prachar Sabha,Mardras & Hyderabad
3,Dayalbagh Educational Institute,Agra
3,Deccan College Post Graduate and Research Institute,Pune
3,Dibrugarh University,Dibrugarh
3,Dr Babasaheb Ambedkar Marathwada University,Aurangabad
3,Dr Babasaheb Ambedkar Technological University,Lonere
3,Dr Ram Manohar Lohia University,Faizabad
3,Dr yashwant Singh (Y S) Parmar Univrsity of Horticulture and Foresty,Nauni (Solan)
3,Gao University,Panaji
3,Gauhati University,Guwahati
3,Gokhale Institute of Politics and Economics ,Pune
3,Gujarat Agricultural University,Sardar Krushinagar
